timestamp,message
1618828306361,"{""time"":""2021-04-19 10:31:46.299056"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid3200]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618828310641,"{""time"":""2021-04-19 10:31:46.299107"", ""function"" : ""[core:notice]"", ""process"" : ""[pid3200]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618829105920,"{""time"":""2021-04-19 10:45:05.591387"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid3200]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618829105920,"{""time"":""2021-04-19 10:45:05.754070"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid3540]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618829110609,"{""time"":""2021-04-19 10:45:05.754127"", ""function"" : ""[core:notice]"", ""process"" : ""[pid3540]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618829381901,"{""time"":""2021-04-19 10:49:37.417083"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid3540]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618829501909,"{""time"":""2021-04-19 10:51:41.718766"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid3825]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618829506901,"{""time"":""2021-04-19 10:51:41.718817"", ""function"" : ""[core:notice]"", ""process"" : ""[pid3825]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618829901367,"{""time"":""2021-04-19 10:58:21.068965"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid3825]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618829901367,"{""time"":""2021-04-19 10:58:21.227007"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid4053]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
1618829906097,"{""time"":""2021-04-19 10:58:21.227066"", ""function"" : ""[core:notice]"", ""process"" : ""[pid4053]"" ,""message"" : ""AH00094: Command line: '/usr/sbin/apache2'""}"
1618830733881,"{""time"":""2021-04-19 11:12:09.410129"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid4053]"" ,""message"" : ""AH00169: caught SIGTERM, shutting down""}"
1618831128497,(13)Permission denied: AH00104: unable to start piped log program '/var/log/www/access/access_log /var/log/apache2/access.log 1'
1618831132881,AH00015: Unable to open logs
1618831157016,"{""time"":""2021-04-19 11:19:16.886273"", ""function"" : ""[mpm_prefork:notice]"", ""process"" : ""[pid4557]"" ,""message"" : ""AH00163: Apache/2.4.41 (Ubuntu) configured -- resuming normal operations""}"
